animal,dam,sire,Sex,BYEAR,DYEAR,Death.Type,LRS
193,92,,F,1987,1990,natural,3
218,65,,F,1987,1989,natural,0
208,5,,F,1987,1987,natural,0
221,8,,F,1987,1987,natural,0
220,8,,F,1987,1987,natural,0
222,8,,F,1987,1987,natural,0
228,11,,F,1987,1987,natural,0
229,12,,F,1987,1987,natural,0
231,12,,F,1987,1987,natural,0
232,13,,F,1987,1987,natural,0
197,54,,F,1987,1987,natural,0
202,60,,F,1987,1987,natural,0
203,60,,F,1987,1987,natural,0
206,61,,F,1987,1987,natural,0
207,61,,F,1987,1987,natural,0
204,61,,F,1987,1987,natural,0
205,61,,F,1987,1987,natural,0
212,63,,F,1987,1987,natural,0
211,63,,F,1987,1987,natural,0
214,64,,F,1987,1987,natural,0
216,64,,F,1987,1987,natural,0
225,70,,F,1987,1987,natural,0
192,92,,F,1987,1987,natural,0
340,54,,F,1988,1994,natural,18
368,10,,F,1988,1993,natural,14
369,11,,F,1988,1993,natural,13
350,141,,F,1988,1989,natural,0
347,5,,F,1988,1990,natural,0
335,50,,F,1988,1988,natural,0
339,54,,F,1988,1988,natural,0
356,65,,F,1988,1988,natural,0
355,65,,F,1988,1988,natural,0
358,68,,F,1988,0,natural,0
359,68,,F,1988,0,natural,0
363,70,,F,1988,1988,natural,0
374,80,,F,1988,1988,natural,0
331,102,,F,1988,1988,natural,0
332,108,,F,1988,1988,natural,0
337,109,,F,1988,1988,natural,0
336,109,,F,1988,1988,natural,0
354,148,,F,1988,1988,natural,0
520,90,,F,1989,1991,natural,3
519,90,,F,1989,1992,natural,4
452,51,,F,1989,1991,natural,2
453,52,,F,1989,1991,natural,2
450,51,,F,1989,1990,natural,0
457,56,,F,1989,1990,natural,0
468,59,,F,1989,1992,natural,0
443,1,,F,1989,1989,natural,0
449,2,,F,1989,1989,natural,0
462,3,,F,1989,1989,natural,0
460,3,,F,1989,1989,natural,0
465,4,,F,1989,1989,natural,0
480,9,,F,1989,1989,natural,0
479,9,,F,1989,1989,natural,0
496,11,,F,1989,1989,natural,0
444,50,,F,1989,1989,natural,0
445,50,,F,1989,1989,natural,0
451,51,,F,1989,1989,natural,0
459,56,,F,1989,1989,natural,0
467,59,,F,1989,1989,natural,0
474,66,,F,1989,1989,natural,0
478,69,,F,1989,1989,natural,0
476,69,,F,1989,1989,natural,0
492,73,,F,1989,1989,natural,0
493,73,,F,1989,1989,natural,0
500,74,,F,1989,1989,natural,0
510,75,,F,1989,1989,natural,0
509,75,,F,1989,1989,natural,0
508,75,,F,1989,1989,natural,0
514,80,,F,1989,1989,natural,0
513,80,,F,1989,1989,natural,0
516,87,,F,1989,1989,natural,0
497,173,,F,1989,1989,natural,0
499,173,,F,1989,1989,natural,0
504,175,,F,1989,1989,natural,0
503,175,,F,1989,1989,natural,0
512,182,,F,1989,1989,natural,0
466,193,,F,1989,1990,natural,0
666,184,,F,1990,1994,natural,14
667,184,,F,1990,1994,natural,7
676,189,,F,1990,1992,natural,3
622,1,,F,1990,1991,natural,0
649,12,,F,1990,1991,natural,0
652,13,,F,1990,1991,natural,0
631,56,,F,1990,1991,natural,0
659,182,,F,1990,1991,natural,0
625,114,,F,1990,1992,natural,5
660,182,,F,1990,1992,natural,0
647,11,,F,1990,1990,natural,0
650,12,,F,1990,1990,natural,0
628,52,,F,1990,1990,natural,0
632,56,,F,1990,1990,natural,0
637,59,,F,1990,1990,natural,0
638,59,,F,1990,1990,natural,0
642,68,,F,1990,1990,natural,0
672,80,,F,1990,1990,natural,0
679,87,,F,1990,1990,natural,0
678,87,,F,1990,1990,natural,0
623,114,,F,1990,1990,natural,0
661,182,,F,1990,1990,natural,0
668,184,,F,1990,1990,natural,0
669,186,,F,1990,1990,natural,0
677,189,,F,1990,1990,natural,0
656,201,,F,1990,1990,natural,0
658,201,,F,1990,1990,natural,0
674,431,,F,1990,1990,natural,0
803,80,,F,1991,1996,natural,26
771,11,,F,1991,1998,natural,27
773,11,,F,1991,1999,natural,28
760,5,,F,1991,1995,natural,14
768,72,,F,1991,1995,natural,14
756,452,,F,1991,1994,natural,11
775,13,,F,1991,1993,natural,8
766,8,,F,1991,1994,natural,10
825,439,,F,1991,1993,natural,7
810,189,,F,1991,1996,natural,13
788,318,,F,1991,1998,natural,16
765,8,,F,1991,1995,natural,9
758,59,,F,1991,1992,natural,4
833,91,,F,1991,1992,natural,3
792,320,,F,1991,1992,natural,2
769,73,,F,1991,1994,natural,4
791,320,,F,1991,1993,natural,2
801,80,,F,1991,1992,natural,2
830,90,,F,1991,1992,natural,1
815,432,,F,1991,1994,natural,2
759,59,,F,1991,1992,natural,0
789,318,,F,1991,1992,natural,0
795,322,,F,1991,1992,natural,0
804,327,,F,1991,1992,natural,0
820,437,,F,1991,1992,natural,0
761,5,,F,1991,1991,natural,0
774,13,,F,1991,1991,natural,0
753,51,,F,1991,1991,natural,0
752,51,,F,1991,1991,natural,0
754,55,,F,1991,1991,natural,0
767,72,,F,1991,1991,natural,0
822,87,,F,1991,1991,natural,0
829,90,,F,1991,1991,natural,0
808,189,,F,1991,1991,natural,0
809,189,,F,1991,1991,natural,0
796,201,,F,1991,1991,natural,0
798,201,,F,1991,1991,natural,0
800,201,,F,1991,1991,natural,0
781,316,,F,1991,1991,natural,0
790,320,,F,1991,1991,natural,0
805,327,,F,1991,1991,natural,0
836,340,,F,1991,1991,natural,0
839,369,,F,1991,1991,natural,0
838,369,,F,1991,1991,natural,0
806,431,,F,1991,1991,natural,0
817,433,,F,1991,1991,natural,0
824,439,,F,1991,1991,natural,0
827,440,,F,1991,1991,natural,0
828,440,,F,1991,1991,natural,0
842,520,,F,1991,1991,natural,0
1047,438,,F,1992,1998,natural,21
1025,437,,F,1992,1995,natural,11
956,6,,F,1992,1994,natural,6
1042,706,,F,1992,1996,natural,10
1031,756,,F,1992,1994,natural,5
1075,737,,F,1992,1995,natural,6
1013,605,,F,1992,1995,natural,4
1087,368,,F,1992,1995,natural,3
972,13,,F,1992,1993,natural,0
989,320,,F,1992,1993,natural,0
1060,616,,F,1992,1993,natural,0
953,5,,F,1992,1992,natural,0
951,5,,F,1992,1992,natural,0
950,5,,F,1992,1992,natural,0
958,6,,F,1992,1992,natural,0
964,11,,F,1992,1992,natural,0
965,13,,F,1992,1992,natural,0
970,13,,F,1992,1992,natural,0
976,13,,F,1992,1992,natural,0
971,13,,F,1992,1992,natural,0
975,13,,F,1992,1992,natural,0
969,13,,F,1992,1992,natural,0
967,13,,F,1992,1992,natural,0
948,59,,F,1992,1992,natural,0
959,72,,F,1992,1992,natural,0
960,72,,F,1992,1992,natural,0
977,174,,F,1992,1992,natural,0
979,174,,F,1992,1992,natural,0
978,174,,F,1992,1992,natural,0
987,317,,F,1992,1992,natural,0
990,320,,F,1992,1992,natural,0
992,322,,F,1992,1992,natural,0
993,322,,F,1992,1992,natural,0
996,322,,F,1992,1992,natural,0
997,322,,F,1992,1992,natural,0
998,322,,F,1992,1992,natural,0
999,322,,F,1992,1992,natural,0
1076,340,,F,1992,1992,natural,0
1077,340,,F,1992,1992,natural,0
1080,340,,F,1992,1992,natural,0
1081,340,,F,1992,1992,natural,0
1089,368,,F,1992,1992,natural,0
1091,368,,F,1992,1992,natural,0
1086,368,,F,1992,1992,natural,0
1095,369,,F,1992,1992,natural,0
983,400,,F,1992,1992,natural,0
984,400,,F,1992,1992,natural,0
981,400,,F,1992,1992,natural,0
982,400,,F,1992,1992,natural,0
1003,431,,F,1992,1992,natural,0
1096,519,,F,1992,1992,natural,0
1097,519,,F,1992,1992,natural,0
1099,519,,F,1992,1992,natural,0
1011,602,,F,1992,1992,natural,0
1020,606,,F,1992,1992,natural,0
1021,606,,F,1992,1992,natural,0
1061,616,,F,1992,1992,natural,0
1062,616,,F,1992,1992,natural,0
1000,666,,F,1992,1992,natural,0
1038,705,,F,1992,1992,natural,0
1043,706,,F,1992,1992,natural,0
1044,706,,F,1992,1992,natural,0
1050,711,,F,1992,1992,natural,0
1032,756,,F,1992,1992,natural,0
1068,758,,F,1992,1992,natural,0
1030,765,,F,1992,1992,natural,0
1028,765,,F,1992,1992,natural,0
1029,765,,F,1992,1992,natural,0
1034,766,,F,1992,1992,natural,0
1017,773,,F,1992,1992,natural,0
1015,773,,F,1992,1992,natural,0
1009,775,,F,1992,1992,natural,0
1072,788,,F,1992,1992,natural,0
1036,791,,F,1992,1992,natural,0
1057,803,,F,1992,1992,natural,0
1059,803,,F,1992,1992,natural,0
1105,825,,F,1992,1992,natural,0
1106,825,,F,1992,1992,natural,0
1107,825,,F,1992,1992,natural,0
1103,830,,F,1992,1992,natural,0
1108,833,,F,1992,1992,natural,0
1109,833,,F,1992,1992,natural,0
1110,833,,F,1992,1992,natural,0
1065,792,,F,1992,1993,natural,0
1276,666,,F,1993,1998,natural,31
1243,59,,F,1993,1999,natural,28
1327,766,,F,1993,2000,natural,26
1314,771,,F,1993,1998,natural,19
1324,766,,F,1993,1999,natural,22
1352,711,,F,1993,1997,natural,16
1298,775,,F,1993,1997,natural,15
1358,906,,F,1993,1995,natural,8
1350,711,,F,1993,1998,natural,16
1265,201,,F,1993,2000,natural,20
1345,708,,F,1993,1999,natural,16
1351,711,,F,1993,1994,natural,4
1404,616,,F,1993,1999,natural,14
1355,906,,F,1993,2000,natural,15
1367,910,,F,1993,1996,natural,7
1337,706,,F,1993,1999,natural,12
1290,431,,F,1993,1995,natural,5
1336,706,,F,1993,2001,natural,15
1323,756,,F,1993,1999,natural,11
1328,702,,F,1993,1994,natural,3
1316,765,,F,1993,1994,natural,3
1385,768,,F,1993,1994,natural,3
1412,769,,F,1993,1994,natural,3
1304,773,,F,1993,1994,natural,3
1305,773,,F,1993,1994,natural,3
1458,369,,F,1993,1996,natural,6
1325,766,,F,1993,1996,natural,6
1335,706,,F,1993,1999,natural,10
1379,919,,F,1993,1999,natural,9
1247,8,,F,1993,1999,natural,8
1255,400,,F,1993,1994,natural,2
1311,771,,F,1993,1994,natural,2
1296,775,,F,1993,1995,natural,3
1408,1025,,F,1993,1995,natural,3
1269,201,,F,1993,1996,natural,4
1454,368,,F,1993,1996,natural,4
1377,718,,F,1993,1997,natural,5
1410,1025,,F,1993,1997,natural,5
1369,912,,F,1993,1995,natural,1
1403,616,,F,1993,1994,natural,0
1436,760,,F,1993,1994,natural,0
1308,771,,F,1993,1994,natural,0
1341,1031,,F,1993,1994,natural,0
1363,1042,,F,1993,1994,natural,0
1364,1042,,F,1993,1994,natural,0
1383,921,,F,1993,1995,natural,0
1241,59,,F,1993,1993,natural,0
1250,72,,F,1993,1993,natural,0
1262,201,,F,1993,1993,natural,0
1451,340,,F,1993,1993,natural,0
1447,340,,F,1993,1993,natural,0
1456,368,,F,1993,1993,natural,0
1453,368,,F,1993,1993,natural,0
1459,369,,F,1993,1993,natural,0
1254,400,,F,1993,1993,natural,0
1256,400,,F,1993,1993,natural,0
1284,431,,F,1993,1993,natural,0
1285,431,,F,1993,1993,natural,0
1286,431,,F,1993,1993,natural,0
1274,666,,F,1993,1993,natural,0
1273,667,,F,1993,1993,natural,0
1332,706,,F,1993,1993,natural,0
1347,708,,F,1993,1993,natural,0
1349,711,,F,1993,1993,natural,0
1375,718,,F,1993,1993,natural,0
1374,718,,F,1993,1993,natural,0
1427,731,,F,1993,1993,natural,0
1322,756,,F,1993,1993,natural,0
1437,760,,F,1993,1993,natural,0
1384,768,,F,1993,1993,natural,0
1386,768,,F,1993,1993,natural,0
1389,768,,F,1993,1993,natural,0
1387,768,,F,1993,1993,natural,0
1310,771,,F,1993,1993,natural,0
1307,771,,F,1993,1993,natural,0
1390,803,,F,1993,1993,natural,0
1392,803,,F,1993,1993,natural,0
1400,803,,F,1993,1993,natural,0
1391,803,,F,1993,1993,natural,0
1418,957,,F,1993,1993,natural,0
1424,1013,,F,1993,1993,natural,0
1342,1031,,F,1993,1993,natural,0
1343,1031,,F,1993,1993,natural,0
1365,1042,,F,1993,1993,natural,0
1463,1047,,F,1993,1993,natural,0
1613,768,,F,1994,1999,natural,20
1669,1243,,F,1994,2000,natural,19
1569,708,,F,1994,1998,natural,11
1614,768,,F,1994,1999,natural,11
1656,1412,,F,1994,1995,natural,4
1578,714,,F,1994,1996,natural,4
1643,788,,F,1994,2005,natural,15
1580,1042,,F,1994,1995,natural,2
1618,803,,F,1994,1998,natural,3
1528,201,,F,1994,1994,natural,0
1540,431,,F,1994,1994,natural,0
1538,431,,F,1994,1994,natural,0
1537,431,,F,1994,1994,natural,0
1543,602,,F,1994,1994,natural,0
1544,602,,F,1994,1994,natural,0
1542,602,,F,1994,1994,natural,0
1536,666,,F,1994,1994,natural,0
1535,666,,F,1994,1994,natural,0
1533,667,,F,1994,1994,natural,0
1531,667,,F,1994,1994,natural,0
1568,708,,F,1994,1994,natural,0
1566,708,,F,1994,1994,natural,0
1570,709,,F,1994,1994,natural,0
1571,709,,F,1994,1994,natural,0
1573,711,,F,1994,1994,natural,0
1631,731,,F,1994,1994,natural,0
1646,737,,F,1994,1994,natural,0
1648,737,,F,1994,1994,natural,0
1649,737,,F,1994,1994,natural,0
1647,737,,F,1994,1994,natural,0
1645,737,,F,1994,1994,natural,0
1689,744,,F,1994,1994,natural,0
1703,749,,F,1994,1994,natural,0
1704,749,,F,1994,1994,natural,0
1556,756,,F,1994,1994,natural,0
1636,760,,F,1994,1994,natural,0
1637,760,,F,1994,1994,natural,0
1641,760,,F,1994,1994,natural,0
1552,765,,F,1994,1994,natural,0
1551,765,,F,1994,1994,natural,0
1560,766,,F,1994,1994,natural,0
1550,771,,F,1994,1994,natural,0
1546,773,,F,1994,1994,natural,0
1616,803,,F,1994,1994,natural,0
1632,810,,F,1994,1994,natural,0
1634,810,,F,1994,1994,natural,0
1635,810,,F,1994,1994,natural,0
1586,912,,F,1994,1994,natural,0
1596,919,,F,1994,1994,natural,0
1597,919,,F,1994,1994,natural,0
1685,934,,F,1994,1994,natural,0
1686,934,,F,1994,1994,natural,0
1687,934,,F,1994,1994,natural,0
1626,956,,F,1994,1994,natural,0
1627,956,,F,1994,1994,natural,0
1628,956,,F,1994,1994,natural,0
1621,1025,,F,1994,1994,natural,0
1622,1025,,F,1994,1994,natural,0
1565,1031,,F,1994,1994,natural,0
1579,1042,,F,1994,1994,natural,0
1707,1047,,F,1994,1994,natural,0
1709,1047,,F,1994,1994,natural,0
1708,1047,,F,1994,1994,natural,0
1713,1075,,F,1994,1994,natural,0
1711,1075,,F,1994,1994,natural,0
1712,1075,,F,1994,1994,natural,0
1668,1243,,F,1994,1994,natural,0
1680,1255,,F,1994,1994,natural,0
1673,1276,,F,1994,1994,natural,0
1672,1276,,F,1994,1994,natural,0
1671,1276,,F,1994,1994,natural,0
1678,1290,,F,1994,1994,natural,0
1652,1296,,F,1994,1994,natural,0
1651,1296,,F,1994,1994,natural,0
1650,1296,,F,1994,1994,natural,0
1661,1297,,F,1994,1994,natural,0
1660,1297,,F,1994,1994,natural,0
1666,1298,,F,1994,1994,natural,0
1664,1298,,F,1994,1994,natural,0
1665,1298,,F,1994,1994,natural,0
1663,1298,,F,1994,1994,natural,0
1608,1304,,F,1994,1994,natural,0
