ID;SIRE;DAM
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;4;5
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;13;12
29;0;0
30;2;3
31;0;0
32;0;0
33;0;0
34;0;0
35;9;16
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;25;20
52;0;0
53;10;8
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
63;0;0
64;0;0
65;0;0
66;0;0
67;0;0
68;0;0
69;0;0
70;0;0
71;0;0
72;0;0
73;0;0
74;0;0
75;0;0
76;0;0
77;0;0
78;0;0
79;43;17
80;0;0
81;0;0
82;0;0
83;6;18
84;0;0
85;0;0
86;22;40
87;0;0
88;0;0
89;0;0
90;19;41
91;56;7
92;0;0
93;11;46
94;11;46
95;44;47
96;38;48
97;65;49
98;0;0
99;0;0
100;0;0
101;0;0
102;0;0
103;26;21
104;0;0
105;0;0
106;0;0
107;0;0
108;0;0
109;0;0
110;67;55
111;0;0
112;23;57
113;0;0
114;0;0
115;0;0
116;0;0
117;29;61
118;0;0
119;56;15
120;0;0
121;0;0
122;14;28
123;0;0
124;0;0
125;74;45
126;0;0
127;0;0
128;63;32
129;37;31
130;0;0
131;0;0
132;0;0
133;0;0
134;27;33
135;0;0
136;0;0
137;0;0
138;0;0
139;0;0
140;0;0
141;0;0
142;0;0
143;0;0
144;0;0
145;0;0
146;0;0
147;0;0
148;0;0
149;0;0
150;24;75
151;0;0
152;0;0
153;35;79
154;0;0
155;0;0
156;60;77
157;0;0
158;0;0
159;87;79
160;0;0
161;0;0
162;0;0
163;0;0
164;0;0
165;0;0
166;0;0
167;0;0
168;0;0
169;0;0
170;0;0
171;0;0
172;0;0
173;0;0
174;0;0
175;51;103
176;102;50
177;0;0
178;124;108
179;109;107
180;0;0
181;0;0
182;0;0
183;0;0
184;0;0
185;0;0
186;0;0
187;0;0
188;0;0
189;0;0
190;0;0
191;0;0
192;0;0
193;0;0
194;0;0
195;0;0
196;129;113
197;82;114
198;0;0
199;0;0
200;0;0
201;0;0
202;0;0
203;0;0
204;0;0
205;0;0
206;129;30
207;0;0
208;106;120
209;119;116
210;119;117
211;0;0
212;0;0
213;0;0
214;0;0
215;0;0
216;130;131
217;0;0
218;0;0
219;0;0
220;0;0
221;68;34
222;133;69
223;0;0
224;135;136
225;0;0
226;0;0
227;141;138
228;139;140
229;0;0
230;102;132
231;0;0
232;0;0
233;144;66
234;0;0
235;0;0
236;0;0
237;0;0
238;0;0
239;147;146
240;127;71
241;0;0
242;0;0
243;125;150
244;0;0
245;0;0
246;0;0
