id,dam,sire,Sex
1,,,F
2,,,F
3,,,F
4,,,F
5,,,F
6,,,F
7,,,F
8,,,F
9,,,F
10,,,F
11,,,F
12,,,F
13,,,F
50,,,F
51,,,F
52,,,F
53,,,F
54,,,F
55,,,F
56,,,F
57,,,F
58,,,F
59,,,F
60,,,F
61,,,F
62,,,F
63,,,F
64,,,F
65,,,F
66,,,F
67,,,F
68,,,F
69,,,F
70,,,F
71,,,F
72,,,F
73,,,F
74,,,F
75,,,F
76,,,M
77,,,F
78,,,M
79,,,M
80,,,F
81,,,M
82,,,M
83,,,M
84,,,M
85,,,M
86,,,M
87,,,F
88,,,M
89,,,M
90,,,F
91,,,F
92,,,F
100,,,F
101,,,F
102,,,F
103,,,M
104,,,F
105,,,M
106,,,M
107,,,M
108,,,F
109,,,F
110,,,NA
111,,,M
112,,,F
113,,,M
114,,,F
115,,,F
116,,,F
117,,,F
118,,,M
119,,,M
120,,,F
121,,,M
122,,,M
123,,,F
124,,,M
125,,,M
126,,,F
127,,,F
128,,,F
129,,,M
130,,,M
131,,,M
132,,,M
133,,,F
134,,,M
135,,,M
136,,,F
137,,,F
138,,,M
139,,,M
140,,,F
141,,,F
142,,,F
143,,,M
144,,,M
145,,,M
146,,,M
147,,,M
148,,,F
149,,,M
150,,,M
151,,,M
152,,,M
153,,,M
154,,,F
155,,,M
156,,,M
157,,,F
158,,,M
159,,,F
160,,,M
161,,,F
162,,,F
163,,,M
164,,,M
165,,,M
166,,,M
167,,,M
168,,,M
169,,,M
170,,,M
171,,,F
172,,,M
173,,,F
174,,,F
175,,,F
176,,,M
177,,,M
178,,,M
179,,,F
180,,,M
181,,,M
182,,,F
183,,,M
184,,,F
185,,,F
186,,,F
187,,,M
188,,,M
189,,,F
190,,,M
191,92,,M
192,92,,F
193,92,,F
194,2,,M
195,2,,M
196,2,,M
197,54,,F
198,3,,M
199,57,,M
200,58,,M
201,58,,F
202,60,,F
203,60,,F
204,61,,F
205,61,,F
206,61,,F
207,61,,F
208,5,,F
209,62,,M
210,63,,M
211,63,,F
212,63,,F
213,,,F
214,64,,F
215,64,,M
216,64,,F
217,65,,M
218,65,,F
219,67,,M
220,8,,F
221,8,,F
222,8,,F
223,9,,M
224,9,,M
225,70,,F
226,11,,M
227,11,,M
228,11,,F
229,12,,F
230,12,,M
231,12,,F
232,13,,F
300,,,F
301,,,F
302,,,M
303,,,M
304,,,M
305,,,F
306,,,M
307,,,M
308,,,M
309,,,M
310,,,M
311,,,M
312,,,M
313,,,F
314,,,M
315,,,M
316,,,F
317,,,F
318,,,F
319,,,M
320,,,F
321,,,M
322,,,F
323,,,M
324,,,M
325,,,M
326,,,M
327,,,F
328,,,F
329,102,,M
330,102,,M
331,102,,F
332,108,,F
333,50,,M
334,50,,M
335,50,,F
336,109,,F
337,109,,F
338,2,,M
339,54,,F
340,54,,F
341,3,,M
342,3,,M
343,3,,M
344,126,,M
345,126,,M
346,5,,M
347,5,,F
348,5,,M
349,141,,M
350,141,,F
351,141,,M
352,148,,M
353,148,,M
354,148,,F
355,65,,F
356,65,,F
357,68,,M
358,68,,F
359,68,,F
360,69,,M
361,69,,M
362,69,,M
363,70,,F
364,70,,M
365,70,,M
366,10,,M
367,10,,F
368,10,,F
369,11,,F
370,11,,M
371,13,,M
372,13,,M
373,80,,M
374,80,,F
375,87,,M
376,87,,M
400,,,F
401,,,M
402,,,M
403,,,F
404,,,M
405,,,M
406,,,M
407,,,M
408,,,F
409,,,M
410,,,M
411,,,M
412,,,M
413,,,M
414,,,M
415,,,M
416,,,M
417,,,F
418,,,M
419,,,M
420,,,F
421,,,M
422,,,M
423,,,M
424,,,M
425,,,F
426,,,M
427,,,M
428,,,M
429,,,M
430,,,M
431,,,F
432,,,F
433,,,F
434,,,M
435,,,M
436,,,M
437,,,F
438,,,F
439,,,F
440,,,F
441,1,,M
442,1,,M
443,1,,F
444,50,,F
445,50,,F
446,50,,M
447,50,,M
448,114,,M
449,2,,F
450,51,,F
451,51,,F
452,51,,F
453,52,,F
454,52,,M
455,52,,M
456,56,,M
457,56,,F
458,56,,M
459,56,,F
460,3,,F
461,3,,M
462,3,,F
463,3,,M
464,4,,M
465,4,,F
466,193,,F
467,59,,F
468,59,,F
469,5,,M
470,6,,M
471,6,,M
472,6,,M
473,66,,M
474,66,,F
475,66,,M
476,69,,F
477,69,,M
478,69,,F
479,9,,F
480,9,,F
481,9,,M
482,162,,M
483,162,,M
484,162,,M
485,162,,M
486,72,,M
487,72,,M
488,72,,M
489,10,,M
490,10,,M
491,73,,M
492,73,,F
493,73,,F
494,11,,M
495,11,,M
496,11,,F
497,173,,F
498,173,,M
499,173,,F
500,74,,F
501,74,,M
502,74,,M
503,175,,F
504,175,,F
505,179,,M
506,179,,M
507,179,,M
508,75,,F
509,75,,F
510,75,,F
511,182,,M
512,182,,F
513,80,,F
514,80,,F
515,80,,M
516,87,,F
517,87,,M
518,87,,M
519,90,,F
520,90,,F
600,,,M
601,,,M
602,,,F
603,,,M
604,,,M
605,,,F
606,,,F
607,,,M
608,,,F
609,,,M
610,,,M
611,,,F
612,,,M
613,,,F
614,,,M
615,,,M
616,,,F
617,,,F
618,,,M
619,,,F
620,,,M
621,,,F
622,1,,F
623,114,,F
624,114,,M
625,114,,F
626,2,,M
627,2,,M
628,52,,F
629,52,,M
630,55,,M
631,56,,F
632,56,,F
633,56,,M
634,193,,M
635,193,,M
636,59,,M
637,59,,F
638,59,,F
639,6,,M
640,6,,M
641,6,,M
642,68,,F
643,68,,M
644,10,,M
645,10,,M
646,11,,M
647,11,,F
648,11,,M
649,12,,F
650,12,,F
651,13,,M
652,13,,F
653,316,,M
654,322,,M
655,322,,M
656,201,,F
657,201,,M
658,201,,F
659,182,,F
660,182,,F
661,182,,F
662,182,,M
663,77,,M
664,77,,M
665,77,,M
666,184,,F
667,184,,F
668,184,,F
669,186,,F
670,186,,M
671,80,,M
672,80,,F
673,80,,M
674,431,,F
675,431,,M
676,189,,F
677,189,,F
678,87,,F
679,87,,F
680,369,,M
681,369,,M
700,,,M
701,,,M
702,,,F
703,,,M
704,,,F
705,,,F
706,,,F
707,,,M
708,,,F
709,,,F
710,,,M
711,,,F
712,,,M
713,,,M
714,,,F
715,,,M
716,,,M
717,,,M
718,,,F
719,,,M
720,,,M
721,,,F
722,,,M
723,,,M
724,,,M
725,,,M
726,,,M
727,,,M
728,,,M
729,,,M
730,,,M
731,,,F
732,,,M
733,,,F
734,,,M
735,,,M
736,,,M
737,,,F
738,,,M
739,,,M
740,,,F
741,,,M
742,,,F
743,,,M
744,,,F
745,,,M
747,,,M
748,,,M
749,,,F
750,,,M
751,51,,M
752,51,,F
753,51,,F
754,55,,F
755,55,,M
756,452,,F
757,452,,M
758,59,,F
759,59,,F
760,5,,F
761,5,,F
762,7,,M
763,7,,M
764,7,,M
765,8,,F
766,8,,F
767,72,,F
768,72,,F
769,73,,F
770,73,,M
771,11,,F
772,11,,M
773,11,,F
774,13,,F
775,13,,F
776,313,,M
777,313,,M
778,174,,M
779,174,,M
780,174,,M
781,316,,F
782,316,,M
783,316,,M
784,317,,M
785,317,,M
786,453,,M
787,453,,M
788,318,,F
789,318,,F
790,320,,F
791,320,,F
792,320,,F
793,322,,M
794,322,,M
795,322,,F
796,201,,F
797,201,,M
798,201,,F
799,201,,M
800,201,,F
801,80,,F
802,80,,F
803,80,,F
804,327,,F
805,327,,F
806,431,,F
807,431,,M
808,189,,F
809,189,,F
810,189,,F
811,189,,M
812,189,,M
813,432,,M
814,432,,M
815,432,,F
816,433,,M
817,433,,F
818,437,,M
819,437,,M
820,437,,F
821,437,,M
822,87,,F
823,439,,M
824,439,,F
825,439,,F
826,440,,M
827,440,,F
828,440,,F
829,90,,F
830,90,,F
831,90,,M
832,91,,M
833,91,,F
834,340,,M
835,340,,M
836,340,,F
837,369,,M
838,369,,F
839,369,,F
840,520,,M
841,520,,M
842,520,,F
900,,,F
901,,,F
902,,,F
903,,,M
904,,,M
905,,,M
906,,,F
907,,,M
908,,,M
909,,,M
910,,,F
911,,,F
912,,,F
913,,,M
914,,,M
915,,,F
916,,,M
917,,,M
918,,,F
919,,,F
920,,,M
921,,,F
922,,,M
923,,,M
924,,,M
925,,,F
926,,,M
927,,,M
928,,,F
929,,,M
930,,,M
931,,,M
932,,,M
933,,,F
934,,,F
935,,,F
936,,,M
937,,,M
938,,,F
939,,,M
940,,,F
941,,,M
942,,,M
943,,,M
944,51,,M
945,59,,M
946,59,,F
947,59,,M
948,59,,F
949,5,,M
950,5,,F
951,5,,F
952,5,,M
953,5,,F
954,5,,M
955,5,,M
956,6,,F
957,6,,F
958,6,,F
959,72,,F
960,72,,F
961,72,,M
962,11,,M
963,11,,M
964,11,,F
965,13,,F
966,13,,M
967,13,,F
968,13,,M
969,13,,F
970,13,,F
971,13,,F
972,13,,F
973,13,,M
974,13,,M
975,13,,F
976,13,,F
977,174,,F
978,174,,F
979,174,,F
980,174,,M
981,400,,F
982,400,,F
983,400,,F
984,400,,F
985,317,,M
986,317,,M
987,317,,F
988,320,,M
989,320,,F
990,320,,F
991,320,,M
992,322,,F
993,322,,F
994,322,,M
995,322,,M
996,322,,F
997,322,,F
998,322,,F
999,322,,F
1000,666,,F
1001,666,,M
1002,666,,M
1003,431,,F
1004,431,,M
1005,431,,M
1006,189,,M
1007,775,,M
1008,775,,M
1009,775,,F
