personID,momID,dadID,sex,famID,byear,dyear,lrs,ars_mean,ars_max,ars_med,ars_min,ars_sd,ars_n,year_first,year_last
1,,,F,1,,,,,,,,,0,,
2,,,F,2,,,,,,,,,0,,
3,,,F,3,,,,,,,,,0,,
4,,,F,4,,,,,,,,,0,,
5,,,F,5,,,,,,,,,0,,
6,,,F,6,,,,,,,,,0,,
7,,,F,7,,,,,,,,,0,,
8,,,F,8,,,,,,,,,0,,
9,,,F,9,,,,,,,,,0,,
10,,,F,10,,,,,,,,,0,,
11,,,F,8,,,,,,,,,0,,
12,,,F,11,,,,,,,,,0,,
13,,,F,8,,,,,,,,,0,,
50,,,F,12,,,,,,,,,0,,
51,,,F,8,,,,,,,,,0,,
52,,,F,13,,,,,,,,,0,,
53,,,F,14,,,,,,,,,0,,
54,,,F,15,,,,,,,,,0,,
55,,,F,16,,,,,,,,,0,,
56,,,F,17,,,,,,,,,0,,
57,,,F,18,,,,,,,,,0,,
58,,,F,8,,,,,,,,,0,,
59,,,F,8,,,,,,,,,0,,
60,,,F,19,,,,,,,,,0,,
61,,,F,20,,,,,,,,,0,,
62,,,F,21,,,,,,,,,0,,
63,,,F,22,,,,,,,,,0,,
64,,,F,23,,,,,,,,,0,,
65,,,F,24,,,,,,,,,0,,
66,,,F,25,,,,,,,,,0,,
67,,,F,26,,,,,,,,,0,,
68,,,F,27,,,,,,,,,0,,
69,,,F,28,,,,,,,,,0,,
70,,,F,29,,,,,,,,,0,,
71,,,F,30,,,,,,,,,0,,
72,,,F,8,,,,,,,,,0,,
73,,,F,31,,,,,,,,,0,,
74,,,F,32,,,,,,,,,0,,
75,,,F,33,,,,,,,,,0,,
76,,,M,34,,,,,,,,,0,,
77,,,F,35,,,,,,,,,0,,
78,,,M,36,,,,,,,,,0,,
79,,,M,37,,,,,,,,,0,,
80,,,F,38,,,,,,,,,0,,
81,,,M,39,,,,,,,,,0,,
82,,,M,40,,,,,,,,,0,,
83,,,M,41,,,,,,,,,0,,
84,,,M,42,,,,,,,,,0,,
85,,,M,43,,,,,,,,,0,,
86,,,M,44,,,,,,,,,0,,
87,,,F,45,,,,,,,,,0,,
88,,,M,46,,,,,,,,,0,,
89,,,M,47,,,,,,,,,0,,
90,,,F,48,,,,,,,,,0,,
91,,,F,49,,,,,,,,,0,,
92,,,F,50,,,,,,,,,0,,
100,,,F,51,,,,,,,,,0,,
101,,,F,52,,,,,,,,,0,,
102,,,F,53,,,,,,,,,0,,
103,,,M,54,,,,,,,,,0,,
104,,,F,55,,,,,,,,,0,,
105,,,M,56,,,,,,,,,0,,
106,,,M,57,,,,,,,,,0,,
107,,,M,58,,,,,,,,,0,,
108,,,F,59,,,,,,,,,0,,
109,,,F,60,,,,,,,,,0,,
110,,,,61,,,,,,,,,0,,
111,,,M,62,,,,,,,,,0,,
112,,,F,63,,,,,,,,,0,,
113,,,M,64,,,,,,,,,0,,
114,,,F,65,,,,,,,,,0,,
115,,,F,66,,,,,,,,,0,,
116,,,F,67,,,,,,,,,0,,
117,,,F,68,,,,,,,,,0,,
118,,,M,69,,,,,,,,,0,,
119,,,M,70,,,,,,,,,0,,
120,,,F,71,,,,,,,,,0,,
121,,,M,72,,,,,,,,,0,,
122,,,M,73,,,,,,,,,0,,
123,,,F,74,,,,,,,,,0,,
124,,,M,75,,,,,,,,,0,,
125,,,M,76,,,,,,,,,0,,
126,,,F,77,,,,,,,,,0,,
127,,,F,78,,,,,,,,,0,,
128,,,F,79,,,,,,,,,0,,
129,,,M,80,,,,,,,,,0,,
130,,,M,81,,,,,,,,,0,,
131,,,M,82,,,,,,,,,0,,
132,,,M,83,,,,,,,,,0,,
133,,,F,84,,,,,,,,,0,,
134,,,M,85,,,,,,,,,0,,
135,,,M,86,,,,,,,,,0,,
136,,,F,87,,,,,,,,,0,,
137,,,F,88,,,,,,,,,0,,
138,,,M,89,,,,,,,,,0,,
139,,,M,90,,,,,,,,,0,,
140,,,F,91,,,,,,,,,0,,
141,,,F,92,,,,,,,,,0,,
142,,,F,93,,,,,,,,,0,,
143,,,M,94,,,,,,,,,0,,
144,,,M,95,,,,,,,,,0,,
145,,,M,96,,,,,,,,,0,,
146,,,M,97,,,,,,,,,0,,
147,,,M,98,,,,,,,,,0,,
148,,,F,99,,,,,,,,,0,,
149,,,M,100,,,,,,,,,0,,
150,,,M,101,,,,,,,,,0,,
151,,,M,102,,,,,,,,,0,,
152,,,M,103,,,,,,,,,0,,
153,,,M,104,,,,,,,,,0,,
154,,,F,105,,,,,,,,,0,,
155,,,M,106,,,,,,,,,0,,
156,,,M,107,,,,,,,,,0,,
157,,,F,108,,,,,,,,,0,,
158,,,M,109,,,,,,,,,0,,
159,,,F,110,,,,,,,,,0,,
160,,,M,111,,,,,,,,,0,,
161,,,F,112,,,,,,,,,0,,
162,,,F,113,,,,,,,,,0,,
163,,,M,114,,,,,,,,,0,,
164,,,M,115,,,,,,,,,0,,
165,,,M,116,,,,,,,,,0,,
166,,,M,117,,,,,,,,,0,,
167,,,M,118,,,,,,,,,0,,
168,,,M,119,,,,,,,,,0,,
169,,,M,120,,,,,,,,,0,,
170,,,M,121,,,,,,,,,0,,
171,,,F,122,,,,,,,,,0,,
172,,,M,123,,,,,,,,,0,,
173,,,F,124,,,,,,,,,0,,
174,,,F,125,,,,,,,,,0,,
175,,,F,126,,,,,,,,,0,,
176,,,M,127,,,,,,,,,0,,
177,,,M,128,,,,,,,,,0,,
178,,,M,129,,,,,,,,,0,,
179,,,F,130,,,,,,,,,0,,
180,,,M,131,,,,,,,,,0,,
181,,,M,132,,,,,,,,,0,,
182,,,F,133,,,,,,,,,0,,
183,,,M,134,,,,,,,,,0,,
184,,,F,8,,,,,,,,,0,,
185,,,F,135,,,,,,,,,0,,
186,,,F,136,,,,,,,,,0,,
187,,,M,137,,,,,,,,,0,,
