ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
8997	1	2633	1	3	23	2.2
4735	1	3754	0	5	4	2.3
4124	1	6843	0	5	26	1.95
2152	1	3364	0	3	23	2.9
7979	1	5565	0	5	27	2.4
3741	1	8274	1	2	11	1.6
6998	1	7488	0	4	19	2.7
2720	1	1971	1	1	26	1.8
6140	2	7499	0	2	6	2.8
6383	1	3054	0	1	8	2
3473	2	4229	0	5	1	3.4
4081	2	7710	1	3	23	1.7
699	2	1714	0	1	29	2.6
8981	1	6621	0	4	20	3.5
8548	2	5631	0	2	27	2.6
7185	1	7020	1	2	26	2
225	1	5331	0	2	15	2.15
5016	1	2829	0	4	26	2.8
9029	1	6306	0	3	15	2.45
2125	1	1037	1	1	12	1.7
1309	2	3214	0	0	17	1.5
1783	1	1375	0	0	20	2.6
8683	2	6621	0	2	29	3.4
7532	1	7780	0	0	23	1.9
6593	2	6184	0	1	1	2.6
8919	2	8865	0	3	21	2.5
3529	1	5312	0	2	10	1.84
8875	1	7931	0	2	22	2.5
3582	2	442	0	1	14	2.5
4775	2	1576	0	2	6	1.3
7775	1	5631	0	1	9	2
6955	1	6208	1	1	27	1.65
8295	2	8605	0	1	8	2.6
4288	1	6132	1	1	4	1
299	2	6843	0	1	19	2.4
3016	2	6271	1	2	25	1.5
6601	2	4000	1	1	5	1.5
5534	2	8321	0	2	20	2.2
7146	1	8191	0	4	10	2.2
6552	2	968	0	1	19	2.4
4555	1	3603	0	0	20	2.7
5303	1	1998	0	0	19	1.1
5931	2	5146	0	0	19	1.3
6217	2	7519	0	2	7	2.1
6558	2	1969	1	2	9	1.25
5671	1	6257	0	0	14	1.2
7029	2	1107	0	3	6	3.7
8012	1	6007	0	1	15	1.95
548	2	4192	0	2	11	3
5421	2	258	0	3	10	2.14
3774	1	7642	0	2	8	2.15
952	2	6006	0	0	12	1.5
1788	2	1725	0	5	12	1.6
900	1	970	0	4	11	1.8
7732	2	8082	0	3	22	1.8
6885	1	4101	1	3	19	1.5
2851	1	7201	0	2	21	1.1
7852	1	2654	1	0	6	1.1
7943	2	795	0	1	11	2.4
870	1	3762	1	2	3	1.7
6125	1	1674	0	1	12	1.95
2369	1	5928	0	2	12	2.4
6116	2	3747	0	1	4	1.425
4543	2	1622	1	1	29	1.9
4573	1	2317	1	2	27	1.575
608	1	2982	1	1	5	1.2
2019	2	4251	1	1	1	2
5290	2	1074	1	3	22	1.9
58	2	5815	0	2	13	2.5
1679	1	7622	0	2	1	2.2
6785	2	8316	0	3	4	2.7
4732	2	8896	0	3	10	2.34
5101	2	6110	0	2	16	2.4
7676	1	2052	1	4	7	1.7
7008	1	6520	0	4	9	2.7
1487	2	5631	0	2	8	2.2
2465	1	2975	0	3	27	1.75
7366	2	7510	0	5	16	1.6
6841	1	4	1	0	1	1
3439	2	1529	0	1	3	2.5
4818	1	6299	0	2	12	2.8
6260	2	7780	0	3	3	3
938	2	2982	0	1	3	2.7
1864	2	7434	0	1	5	1.6
600	2	5879	0	2	3	2.3
3572	1	2980	0	1	11	2.4
5122	2	4252	1	1	27	1.55
1725	1	4935	0	1	26	2.6
555	1	5881	0	2	16	3.1
2258	1	3048	0	1	3	1.6
3585	1	7287	0	0	8	1
4856	2	7448	1	2	22	1.9
8043	1	6102	0	2	25	2.3
3576	2	7873	0	2	10	1.84
3093	2	8293	1	3	23	1.7
2136	2	8901	0	2	4	3
4641	2	149	0	1	8	1.75
1842	2	3637	0	0	9	1.2
7129	2	382	0	5	15	3.3
7451	1	6858	1	5	23	2.3
599	1	1607	0	1	20	3
5960	1	8261	0	1	8	2.4
2048	2	4820	1	2	25	1.5
1569	1	8712	0	5	11	3.2
7544	2	8560	1	1	8	1.15
448	1	2611	0	1	12	1.8
8030	1	7374	0	1	9	2.2
8593	1	8063	0	3	27	2.4
6355	2	5499	1	4	15	1.65
3159	1	3476	1	3	9	1.6
6810	1	8896	0	2	1	2.3
2439	2	1568	0	2	2	1.8
4996	2	7417	1	0	29	1.7
4485	1	1037	0	3	7	2.1
6815	2	6110	0	2	22	2.6
991	2	8030	0	1	19	2.1
4853	1	2966	1	1	7	2
5243	2	5436	0	3	7	3.1
7342	1	1998	0	4	10	2.25
8389	2	695	1	1	20	2.4
7014	1	8567	0	3	3	3.1
8239	1	2250	0	2	5	1.4
3587	1	6208	1	1	27	1.85
4063	2	8973	1	4	1	1.8
6919	2	7499	0	1	3	3
2121	2	7664	0	1	19	2.9
5010	1	27	0	2	18	1.8
4153	1	1783	0	2	3	3.2
2635	1	5928	0	2	4	2.15
6764	1	5479	0	2	18	2
1325	1	7710	0	2	18	1.9
1093	1	1829	0	1	8	1.1
6562	1	3832	0	2	3	2.6
2814	1	1375	0	3	21	2
4341	2	3457	0	3	20	1.3
3657	1	6503	1	5	9	1.5
5964	2	173	0	2	1	2.6
6284	2	6937	0	0	27	1.65
177	1	5146	0	3	1	1.95
1088	2	3689	0	2	10	1.82
6484	2	7536	0	4	10	2.64
8215	1	8261	0	2	12	2.8
1775	2	5980	0	2	10	1.88
6465	2	382	0	4	1	2.25
2910	2	5314	0	2	7	2.4
3706	1	8732	0	5	13	1.75
7196	2	1515	0	2	13	2.4
1532	1	6161	0	2	16	2.7
5868	2	4358	0	1	29	2
7791	2	17	1	0	21	1
936	1	9021	0	5	27	2.8
549	2	2780	1	2	11	1.7
5150	2	8489	0	3	19	2.1
6797	2	8145	0	2	9	2.45
5809	2	403	0	0	1	1.3
7844	1	9017	1	2	6	2.2
8261	1	6106	0	2	7	2.4
8980	1	7898	0	1	9	2.4
1896	2	8345	1	1	9	2
7141	2	4822	0	2	18	2
8605	1	2966	1	1	7	1.9
409	2	2899	1	2	4	1.7
8542	1	6689	1	1	16	1.5
4053	2	6161	1	2	11	1.7
929	1	162	0	1	11	2.3
6148	2	1571	0	2	2	2.5
4354	1	2317	1	0	12	1.8
6893	2	1809	0	2	19	2.8
5714	2	1971	0	1	4	1.1
4827	1	7681	0	2	7	2
3765	2	3983	0	2	5	2.5
178	2	4110	0	3	10	2
8537	2	5981	0	1	1	1.7
6482	2	5542	0	5	1	2.5
8629	2	1622	1	2	20	2.1
2842	2	4805	0	1	29	1.8
8447	2	995	0	1	18	1.3
8098	2	7499	0	1	2	2.9
6977	1	1809	0	2	15	2.45
6215	1	5440	0	2	3	3.1
5575	2	7779	1	2	22	1.8
5978	2	516	1	2	9	2.1
1503	2	6521	1	4	10	2.04
