ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
6805	2	3644	0	1	29	2.1
6288	1	850	0	1	20	2.3
5875	1	5580	0	1	26	2.4
2660	1	8274	0	3	22	2.2
132	1	7488	0	5	15	2.6
32	2	7813	0	1	9	2.2
9022	2	3650	0	5	15	2.5
6164	2	5550	1	4	7	1.4
7471	1	6208	1	1	9	1.75
8834	2	8734	0	0	5	1.8
4347	1	2780	1	3	5	1.2
2163	2	8093	0	0	25	1.4
5110	1	8489	0	2	13	2.2
411	1	8746	0	2	12	2.6
568	2	861	0	4	17	3
3237	1	6237	0	1	13	1.8
6382	1	2697	1	4	7	1.75
1842	2	3637	0	0	9	1.2
2313	1	8316	0	2	11	2.4
2369	1	5928	0	2	12	2.4
1685	1	1793	0	1	11	2.3
8981	1	6621	0	4	20	3.5
6394	1	5006	0	3	16	3.2
4813	1	7710	1	3	23	1.5
6154	2	1074	0	0	23	0.8
5595	1	1257	1	2	16	2
1576	1	1622	1	1	3	1.9
549	2	2780	1	2	11	1.7
7297	2	6027	1	2	25	1.4
8286	2	8316	1	1	12	1.95
2776	2	3015	0	2	23	2.9
7066	2	1650	0	1	5	1.1
459	2	6102	0	3	20	2.8
1948	2	37	0	1	2	2.7
9035	2	2515	0	2	23	1
191	1	7816	0	3	6	1.5
8879	1	4167	1	3	13	1.4
2700	1	6858	0	4	3	3.1
5282	1	745	1	1	12	1.7
751	1	582	0	4	14	2.3
6035	2	8289	0	1	18	1
1303	1	8289	1	0	25	0.9
5233	2	695	0	2	5	2.2
2627	2	5950	0	1	20	2
8415	1	587	0	2	21	2.2
565	2	5516	0	1	26	2.8
18	1	8293	1	2	22	2
7244	2	3914	0	0	17	2.7
7301	1	6237	0	2	9	2
1392	2	7663	1	1	11	1.4
2315	2	5230	0	1	15	0.9
1345	2	3879	1	1	13	1.6
5611	2	5815	0	0	8	1.25
5608	2	1206	0	5	3	3.1
3780	2	5436	1	5	8	1.5
2855	1	64	1	2	11	1.6
6076	1	6300	0	3	20	2.9
14	1	8116	1	1	26	2.1
6257	1	795	0	2	5	2
2207	2	7780	0	0	17	2.4
2002	2	1607	0	2	23	2.3
2541	2	4101	0	4	27	2.65
7456	2	183	0	1	11	2.3
6587	1	1074	0	1	16	2.6
6756	1	1207	0	1	29	2.2
7906	1	2034	0	2	13	2.2
1945	2	3926	0	2	16	2.4
8821	1	7681	0	1	13	2.6
8535	2	1085	1	2	11	2
8036	2	4302	0	1	29	2
3565	1	7159	0	3	22	2.7
1039	1	7760	1	2	13	1.4
7422	1	1340	0	3	12	2.4
4766	2	7027	0	1	13	2
3362	2	8835	0	1	29	2.7
502	1	4552	0	0	8	0.6
7411	1	8944	0	3	17	2.5
150	2	335	1	2	12	1.7
5368	1	1654	0	0	17	2
3315	1	3015	0	2	18	2.4
7728	2	6276	0	3	13	2.3
4416	2	1814	0	2	22	2.7
5810	2	5193	0	1	29	2.4
8173	2	3364	0	1	16	3.4
2116	2	2729	0	1	5	2.9
3704	2	8293	1	2	7	2.25
4292	1	4781	0	2	18	1.9
6295	2	2545	0	3	5	2.5
3885	2	5631	0	3	15	1.55
8425	2	331	0	3	22	2.4
4879	2	1375	0	0	6	2.6
201	2	351	0	2	12	2.8
4531	1	5340	1	3	15	1.65
4354	1	2317	1	0	12	1.8
5583	1	7663	0	2	26	2
2230	2	6161	0	2	3	2.2
5616	2	3733	0	1	8	2.3
6955	1	6208	1	1	27	1.65
7243	1	5239	0	1	21	2.2
7141	2	4822	0	2	18	2
8608	2	4538	1	3	27	1.75
717	1	7638	1	1	2	0.6
4156	2	552	0	2	25	2.8
4495	2	173	0	0	9	1
6332	1	2077	0	2	13	2.25
3211	2	3857	0	2	4	1.1
4135	2	7840	0	1	5	2.4
4110	1	5033	0	2	15	2.15
607	1	7638	1	2	16	1.4
73	1	3687	0	3	22	2.2
4792	2	1568	1	2	22	1.5
6229	2	5371	1	1	15	1.8
4853	1	2966	1	1	7	2
245	1	5169	0	3	4	1.55
3481	2	6850	0	3	20	3.5
3635	2	173	0	3	27	2.35
1569	1	8712	0	5	11	3.2
8548	2	5631	0	2	27	2.6
7765	2	8865	1	0	17	1.7
910	1	692	0	1	23	2.5
2429	2	8376	0	5	4	2.7
6667	1	5751	0	1	8	1.7
762	1	8289	1	2	23	2
3990	2	7221	0	2	2	2.1
1014	2	1916	0	0	25	1.6
8907	1	64	1	2	16	1.9
8970	1	2062	0	2	22	2.5
4233	2	5744	0	0	17	2.9
2797	1	8567	0	1	29	1.8
4460	1	3027	1	1	29	1.6
2945	1	3054	0	2	26	3
5358	2	916	0	4	22	3.8
1531	1	8164	0	3	14	1.8
6572	1	2899	1	2	4	1.6
8605	1	2966	1	1	7	1.9
1952	2	8866	1	2	20	2.3
7603	2	8504	1	0	8	1.25
5427	2	4822	1	3	6	2.6
4535	2	7840	0	4	23	3.4
590	1	7840	0	2	18	1.6
1223	2	4034	0	4	27	2.5
6480	2	2611	0	0	26	2.5
3650	1	125	0	5	13	2.9
8561	2	6477	0	1	26	2.4
4013	2	3776	0	0	26	2.4
442	1	2515	0	2	2	2
715	1	7541	0	1	29	3.1
4335	1	5008	0	0	25	1.1
6447	2	3015	0	1	16	3.2
7932	2	8063	0	4	12	1.7
7181	2	6892	0	3	15	2.2
1105	1	240	0	2	18	2.7
403	1	8978	1	2	27	1.65
2144	2	2697	0	4	14	1.8
4105	1	6850	0	1	21	2
7033	1	7776	0	0	29	1.8
5997	1	5773	0	2	18	1.7
6315	1	3747	0	3	9	3
3694	1	3476	1	3	27	1.35
190	2	6208	1	1	9	1.7
7715	2	7908	0	2	23	3.2
39	2	6	0	1	12	2.25
8600	1	1900	0	3	5	2.5
4606	1	3846	0	0	17	1
976	1	4822	0	2	25	2.4
2412	1	968	0	3	27	1.95
5448	2	5550	0	2	22	2.1
7738	2	3112	0	0	29	2.6
3942	2	4256	1	2	26	2.1
2473	1	2008	0	0	7	1.1
7202	1	8321	0	1	18	2.8
5168	1	4153	0	2	7	3.15
7557	1	2467	1	2	13	1.7
7839	1	7780	0	1	5	2.1
5763	2	3843	0	3	27	2.65
5603	2	1783	1	1	2	2.1
8818	1	4783	0	1	8	0.95
8183	1	7908	0	3	6	2.3
4390	2	4935	0	2	7	2.9
2070	1	2926	0	3	5	2
3860	1	64	1	2	18	1.3
8589	1	1037	0	3	13	3.2
2359	2	4473	0	2	18	2.1
6033	1	7201	1	1	5	1.4
8965	2	6300	0	4	3	2.4
6555	1	1793	0	4	14	2.2
6764	1	5479	0	2	18	2
7390	2	546	0	4	15	1.75
4555	1	3603	0	0	20	2.7
4400	1	2966	0	1	18	1.6
2110	2	7519	0	1	13	1.8
1312	2	5318	0	1	16	2.9
104	1	7510	0	3	22	1.9
5123	2	6849	1	2	11	2.2
7336	1	6110	1	2	11	1.7
3487	1	1472	0	2	11	2.1
1178	1	5108	1	2	26	1.6
6519	1	7333	0	3	27	3
8678	1	3270	0	2	22	3.6
1931	1	7950	0	0	17	2.2
7957	1	229	0	1	13	2
5413	2	183	1	1	7	1.2
4488	1	6792	1	3	6	2.4
668	1	1529	0	0	20	2.9
7230	1	1714	0	2	20	2.5
8288	2	5057	0	3	4	2.6
4435	2	183	0	1	26	2.9
1013	1	6937	0	1	7	1.9
7837	1	5831	0	1	11	3.2
1198	1	8836	0	2	21	2.4
478	2	27	0	2	22	2.5
3015	1	2857	0	1	6	2.9
2074	2	8738	0	1	9	1.2
5980	1	8202	0	2	27	2.4
3518	2	1257	1	2	16	1.3
7041	2	3846	0	1	20	2.3
3787	1	3027	1	1	29	1.4
6813	2	5881	0	2	4	2.55
1038	2	7684	0	2	18	1.9
1511	2	4672	0	1	8	0.9
7766	1	7577	0	2	16	1.9
5822	1	7991	0	1	21	1.9
2696	2	6843	0	1	15	3
8960	2	2899	0	2	8	2.8
4007	2	6299	1	2	27	1.5
1926	2	6792	0	2	25	2.1
6284	2	6937	0	0	27	1.65
7205	1	692	1	0	16	2.6
772	1	6788	0	2	26	2.4
4341	2	3457	0	3	20	1.3
8211	2	3111	0	3	9	2.3
7021	1	6158	0	2	11	2.3
1023	1	52	1	1	12	1.55
4809	1	1540	0	0	17	2.3
164	2	6102	0	1	21	1.3
6526	1	9023	0	2	14	2.5
6912	2	8734	0	2	22	1.7
1777	1	450	0	1	27	2.05
1624	2	6768	1	0	9	1.55
3660	2	3476	0	0	24	1
8138	2	7506	1	2	16	2
3879	1	745	0	2	4	2.25
8438	2	6765	0	1	11	2.3
2027	2	6764	0	5	14	1.9
2008	1	3926	0	1	11	2
3356	1	762	0	2	22	2.5
3736	1	516	1	1	15	2.15
6361	1	7583	0	2	17	2.4
6652	2	4485	1	1	12	1.8
2978	2	4482	1	3	22	1.8
1074	1	1274	0	2	5	2.9
1378	1	6110	0	1	2	1.4
7132	1	518	0	0	15	1
952	2	6006	0	0	12	1.5
6451	2	715	0	2	3	2.7
4630	1	2780	1	2	22	1.5
5667	2	1833	0	1	13	2.8
4142	2	4049	0	0	17	1.6
2997	1	3137	0	2	2	1.6
4934	1	5751	0	5	26	3.2
3975	2	5422	0	0	25	1.1
7345	2	1809	0	3	27	2.15
