ID	SEX	MUMID	TWIN	BIRTHYEAR	DEADAGE	DEADAGE.m	Jaw	Leg
4609	1	5357	0	27	0	11	101.5	70.93
3641	1	8732	0	8	0	11	98.92	68.01
5541	2	3754	0	24	0	10	100.69	69.83
5481	2	1510	0	29	0	10	102.02	NA
2565	2	2272	0	15	0	1	78.53	73.74
6038	2	4482	1	22	0	8	97.59	72.05
8724	1	2457	1	29	0	11	103.17	NA
4327	2	6106	0	27	0	11	98.97	76.3
1569	1	8712	0	11	0	11	103	79.56
6146	1	3559	0	29	0	12	109.79	NA
8134	1	3668	NA	6	13	NA	122.02	81.57
406	1	1725	NA	27	3	NA	123.43	80.79
468	1	3474	0	1	0	10	98.78	71.48
337	1	7108	0	1	0	10	93.12	67.44
7728	2	6276	0	13	0	10	99.24	73.33
5557	2	3289	0	15	0	9	97.61	67.96
1434	1	5956	0	13	0	10	92.94	68.02
1073	1	5751	NA	24	10	NA	122.22	82.79
6311	1	903	0	1	0	11	96.85	68.95
5570	2	5580	0	8	0	11	98.21	73.91
8425	2	331	0	22	0	12	101.03	73.26
7344	2	6251	0	11	0	7	83.88	55.5
844	1	6174	NA	25	1	NA	112.77	81.17
5244	1	561	0	7	0	11	103.13	NA
8103	1	2700	NA	2	6	NA	120.3	82.85
21	2	7636	1	22	0	11	97.23	67.78
237	2	5956	NA	4	1	NA	108.52	79.14
5662	2	1125	0	24	0	10	97.3	72.85
4057	2	1206	NA	25	5	NA	129.6	78.61
7619	2	516	0	8	0	8	97.33	NA
774	1	8021	NA	8	6	NA	123.33	79
2734	2	4672	0	19	0	9	92.46	69.27
293	1	2196	0	8	0	12	102.93	78.93
6506	2	3432	NA	23	5	NA	131.82	89.05
7774	2	4413	0	24	0	11	100.7	74.1
289	2	3558	0	1	0	9	97.51	66.25
8958	1	6182	NA	21	2	NA	123.17	NA
7390	2	546	0	15	0	11	95.48	68.55
561	1	4031	NA	2	6	NA	117.95	80.7
2167	1	351	0	24	0	12	103.7	75.5
6555	1	1793	NA	14	7	NA	116.37	80.29
1815	2	901	0	24	0	11	104.95	78.5
5080	1	1692	1	29	0	11	100.2	NA
8332	1	8479	0	3	0	8	94.66	75.14
7636	1	5675	NA	5	9	NA	129.5	79.3
1471	1	6689	0	23	0	12	NA	73.31
1284	2	6778	NA	3	6	NA	133.53	86.03
5427	2	4822	1	6	0	11	106.12	77.48
4337	1	5956	NA	7	1	NA	109.55	74.8
4581	2	801	0	22	0	11	98.07	72.86
4299	1	4092	0	12	0	8	84.28	64.55
8875	1	7931	0	22	0	12	104.43	73.37
2455	1	5516	0	13	0	11	103.83	68.47
3718	1	6414	0	27	0	12	103.54	72.13
5844	2	809	0	11	0	11	97.15	68.59
2428	1	2969	0	12	0	9	96.53	73.76
5572	1	6689	0	18	0	12	99.27	71.82
6873	2	3801	0	23	0	10	93.53	67.27
2602	2	81	NA	22	1	NA	102.89	72.54
8303	2	5410	1	11	0	10	99.05	72.83
1107	1	8108	NA	21	15	NA	125.5	84.3
6543	2	582	NA	16	1	NA	117.67	84.93
5128	2	7448	1	11	0	10	94.87	72.94
7920	2	3832	0	18	0	11	105.14	NA
5622	2	5009	NA	14	7	NA	125.38	84.34
7677	1	1696	0	15	0	10	98	75.54
889	2	4822	NA	2	1	NA	111.43	78.26
4413	1	4347	NA	11	3	NA	118.8	80.55
4201	2	2452	NA	7	1	NA	113.6	80.55
2156	1	695	1	29	0	11	100.55	NA
3862	2	14	0	1	0	9	99.8	72.6
4621	1	6765	0	24	0	10	93.65	66.8
567	2	4715	NA	20	1	NA	118.31	NA
8150	1	6697	0	1	0	10	93.74	68.09
2393	1	263	0	12	0	11	101.03	76.35
6560	1	3916	0	8	0	11	92.7	64.96
3531	2	3747	0	19	0	11	99.83	73.37
8509	1	8281	0	15	0	9	97.01	75.39
7699	1	1085	1	11	0	9	88.94	60.83
8542	1	6689	1	16	0	12	94.85	62.83
7208	2	5920	0	19	0	11	97.96	75.13
6879	1	8600	0	18	0	11	98.1	68.92
598	1	1074	0	18	0	13	102.18	NA
3754	1	3687	NA	11	8	NA	114.62	73.03
622	1	7681	0	24	0	12	102.3	76.2
651	2	5312	0	19	0	11	100.74	64.26
5761	2	6765	0	16	0	12	109.22	77.91
839	2	1085	1	22	0	9	90.07	62.74
7408	2	2697	1	24	0	10	90.1	63.7
4060	2	3687	NA	14	2	NA	120.45	74.4
3678	2	2537	0	17	0	11	103.42	NA
5281	2	4256	NA	22	1	NA	110.36	72.78
1671	2	8316	NA	7	1	NA	118.55	79.5
7118	2	1829	NA	13	5	NA	128.56	81.82
6647	1	2980	NA	22	7	NA	118.63	79.32
8843	1	503	NA	5	1	NA	109.71	73.31
6426	2	6516	1	12	0	9	97.34	71.51
473	2	8108	NA	25	5	NA	127.11	81.75
8128	2	8970	0	24	0	11	98.25	75.4
8028	1	7122	NA	20	1	NA	114.48	NA
5596	1	8200	1	6	0	12	97.23	75.31
5615	1	4265	NA	19	1	NA	106.44	79.46
6632	2	5895	1	8	0	9	93.02	65.1
2818	1	8060	1	29	0	11	100.68	NA
7363	1	7506	0	18	0	11	103.63	75.58
4185	1	4836	0	11	0	10	98.13	72.16
2125	1	1037	1	12	0	10	101.44	68.44
7698	1	2969	NA	26	1	NA	111	74.18
4247	1	27	0	16	0	11	104.87	77.46
3174	2	4000	NA	25	2	NA	121.3	86.22
590	1	7840	0	18	0	12	102.91	77.78
5961	1	2823	0	1	0	12	103.14	78.36
4576	2	5675	1	18	0	11	100.6	66.59
4704	1	561	NA	14	5	NA	121.27	85.69
7929	1	4903	NA	6	7	NA	120.44	79.88
1321	1	1529	NA	6	5	NA	120.83	82.67
4838	1	8913	NA	13	5	NA	118.16	73.59
291	2	4179	1	24	0	8	89.45	64.55
8159	1	5959	1	11	0	10	97.67	73.41
3521	2	64	1	7	0	12	100.46	73.31
6109	1	6257	NA	7	1	NA	112.3	80.6
8790	2	2700	0	6	0	11	92.45	69.1
2553	1	5331	0	27	0	12	105.2	75.55
2078	1	3065	0	6	0	12	101.68	71.74
3668	1	7541	NA	3	8	NA	128.83	86.18
8247	1	7840	0	11	0	11	109.06	80.57
8740	1	8810	NA	23	8	NA	119.65	79.8
6970	2	5564	0	19	0	11	96.53	73.03
5885	2	6717	0	22	0	11	95.36	69.68
6240	2	1962	0	6	0	7	91.38	NA
6440	1	3432	0	16	0	11	90.63	69.05
3694	1	3476	1	27	0	12	96.34	65.52
2506	1	7202	NA	14	5	NA	120.18	80.62
4766	2	7027	0	13	0	10	99.53	72.45
4244	1	6282	NA	2	3	NA	119.03	79.67
7152	2	2196	0	13	0	11	106.11	74.94
8774	2	6973	NA	27	3	NA	115.96	82.25
3290	2	8678	NA	26	3	NA	126.75	90.31
1085	1	8200	NA	5	6	NA	117.45	73.55
3942	2	4256	NA	26	1	NA	110.9	67.97
6479	2	7140	0	11	0	10	92.59	65.64
2992	2	7615	0	24	0	11	100.24	74.55
233	2	6132	0	11	0	11	98.28	68.36
975	1	1142	1	3	0	11	98.79	NA
604	1	8364	0	6	0	11	91.22	66.44
6693	2	2780	1	22	0	11	94.37	70.15
4834	1	1241	0	1	0	8	87.05	59.1
3460	2	7877	NA	8	1	NA	122.35	82.63
7992	1	7638	1	16	0	12	102.09	77.46
7002	2	1283	0	12	0	9	101.27	74.15
7623	2	3785	0	13	0	8	93.78	78.2
45	1	465	0	6	0	11	93.66	65.46
3477	1	1355	0	19	0	12	101.38	69.96
1789	2	5675	0	11	0	11	103.3	73
8093	1	3464	NA	20	1	NA	111.38	NA
1440	1	2537	0	29	0	12	106	NA
4567	2	6850	1	29	0	11	98.65	NA
3728	2	2548	0	9	0	11	94.26	75.14
8430	2	5440	1	18	0	11	99.57	71.18
995	1	7684	NA	23	5	NA	126.46	81.03
6040	2	5879	0	22	0	11	98.68	77.74
955	1	2194	0	9	0	6	96.76	71.92
549	2	2780	1	11	0	10	95.24	68.8
5673	1	668	NA	3	8	NA	125.3	87.08
3870	2	901	0	11	0	12	106.53	72.28
7934	2	5895	0	13	0	10	100.12	71.81
1118	2	8526	NA	9	4	NA	124.89	82.63
8778	1	3879	0	19	0	10	105.12	81.53
3769	1	8234	0	16	0	12	101.6	70.86
6618	2	1355	NA	9	1	NA	111.94	81.23
656	1	3971	0	19	0	11	103.74	79.81
5257	1	4426	0	8	0	12	97.43	71.82
849	1	7493	0	19	0	11	97.87	75.53
3664	1	3834	1	22	0	11	90.8	68.37
7179	2	8200	1	6	0	11	98.45	65.92
5393	2	8901	NA	26	1	NA	114.27	81.53
5431	1	6027	1	23	0	11	103.55	75.58
6788	1	5550	NA	14	5	NA	119.2	83
439	1	5642	0	17	0	12	97.77	NA
1251	2	4347	0	22	0	10	98.02	75.21
5657	2	64	1	22	0	9	90.5	63.11
4503	2	3637	NA	27	3	NA	121.98	84.65
8940	1	3689	0	19	0	11	98.54	75.63
2764	2	4506	NA	3	1	NA	117.16	82.4
6799	2	6503	1	9	0	11	93.3	65
6308	2	7664	0	15	0	9	105.84	79.41
6885	1	4101	1	19	0	11	96.03	64.68
8700	2	556	NA	25	1	NA	118.82	79.14
7041	2	3846	NA	20	4	NA	121.83	80.21
3916	1	331	NA	4	9	NA	122.18	84.25
7280	1	3281	0	1	0	8	85.36	68.73
6489	1	1515	0	26	0	12	111.32	81.32
7027	1	149	NA	7	6	NA	121.89	85
2611	1	6765	NA	14	5	NA	117.22	77.68
2319	2	7355	NA	5	2	NA	119.42	82.8
1194	2	2548	0	24	0	10	101	73.25
